pages_visited,customerID,gender,campaign,ip_address_country,age_first_order,browser,os,high_revenue
12.0,000018,F,False,Poland,59.37808219178082,Chrome,Windows,False
12.666666666666666,000071,F,True,Japan,47.84931506849315,Chrome,Mac OS X,False
14.2,000440,M,True,Ghana,44.03013698630137,Chrome,Windows,True
15.0,000452,M,False,Japan,62.04109589041096,Chrome,Windows,False
10.0,000652,M,False,United States,19.9013698630137,Firefox,Windows,False
14.5,000747,M,False,United States,49.06575342465754,Chrome,Windows,False
13.666666666666666,000759,M,True,United States,25.65753424657534,Chrome,Mac OS X,False
13.666666666666666,000759,M,True,Republic of Korea,25.65753424657534,Chrome,Mac OS X,False
12.666666666666666,000879,F,False,Singapore,57.657534246575345,Chrome,Mac OS X,False
13.5,000887,F,True,France,26.583561643835615,Chrome,Linux,False
12.333333333333334,001226,F,False,China,60.43013698630137,Chrome,Windows,False
12.0,001247,F,True,United States,58.25479452054795,Safari,Mac OS X,False
10.0,001275,F,False,United States,65.3013698630137,Chrome,Windows,True
8.833333333333334,001411,,True,Australia,68.76986301369863,Firefox,Windows,True
12.0,001492,F,True,Japan,22.90684931506849,Chrome,Windows,False
13.333333333333334,001571,M,False,Taiwan,42.608219178082194,Chrome,Mac OS X,False
7.0,001682,M,False,India,69.72602739726027,Chrome,Windows,False
16.0,001771,M,False,China,15.504109589041096,Chrome,Mac OS X,False
8.0,001onj,F,False,,71.41643835616438,Chrome,Mac OS X,False
14.0,002158,M,False,Australia,68.33972602739726,Firefox,Windows,False
7.0,002241,,True,United States,63.04931506849315,Chrome,Mac OS X,True
9.0,002402,,False,United States,34.843835616438355,Safari,Mac OS X,False
11.5,002431,M,False,Malaysia,45.73972602739726,Chrome,Windows,False
12.333333333333334,002453,F,True,Japan,45.487671232876714,Chrome,Mac OS X,False
11.0,002938,M,False,Venezuela,24.594520547945205,Safari,Mac OS X,False
7.0,003194,F,False,United States,76.08493150684932,Chrome,Mac OS X,False
15.0,003314,M,False,United States,31.476712328767125,Chrome,Windows,False
11.0,003374,F,False,Germany,24.49041095890411,Safari,Mac OS X,False
9.333333333333334,003696,M,False,United States,50.24383561643835,Safari,Mac OS X,False
15.0,003742,M,False,United States,62.97260273972603,Chrome,Windows,False
9.11111111111111,004139,F,True,Argentina,39.64109589041096,Chrome,Windows,True
